"zip","state","latitude","longitude","population"
"00601","PR",18.180103,-66.74947,19143
"00602","PR",18.363285,-67.18024,42042
"00603","PR",18.448619,-67.13422,55592
"00604","PR",18.498987,-67.13699,3844
"00606","PR",18.182151,-66.9588,6449
"00610","PR",18.288319,-67.13604,28005
"00612","PR",18.449732,-66.69879,72865
"00616","PR",18.426748,-66.67669,10525
"00617","PR",18.455499,-66.55575,23223
"00622","PR",18.003125,-67.16745,8284
"00623","PR",18.08643,-67.15222,38627
"00624","PR",18.055399,-66.72602,26719
"00627","PR",18.435246,-66.85644,35244
"00631","PR",18.186739,-66.85174,2169
"00637","PR",18.073078,-66.94864,25935
"00638","PR",18.308139,-66.49835,19648
"00641","PR",18.268896,-66.70519,35095
"00646","PR",18.442798,-66.27689,34114
"00647","PR",17.964529,-66.93993,5352
"00650","PR",18.363331,-66.56773,12207
"00652","PR",18.457453,-66.61217,2903
"00653","PR",17.992112,-66.90097,16536
"00656","PR",18.038866,-66.79168,23072
"00659","PR",18.432956,-66.80039,38925
"00660","PR",18.139108,-67.12085,16614
"00662","PR",18.478855,-67.01973,42178
"00664","PR",18.212565,-66.59243,17318
"00667","PR",18.017819,-67.04226,26637
"00669","PR",18.288418,-66.87503,32246
"00670","PR",18.241343,-66.97604,11174
"00674","PR",18.426137,-66.48697,45874
"00676","PR",18.37956,-67.08424,39697
"00677","PR",18.336121,-67.23675,14767
"00678","PR",18.442334,-66.93275,27271
"00680","PR",18.205232,-67.12655,75090
"00682","PR",18.208402,-67.15428,25138
"00683","PR",18.092807,-67.04524,35165
"00685","PR",18.332595,-66.98104,44649
"00687","PR",18.31708,-66.41528,29965
"00688","PR",18.40415,-66.61348,13501
"00690","PR",18.495369,-67.09867,5249
"00692","PR",18.419666,-66.33186,35223
"00693","PR",18.440667,-66.3921,64054
"00698","PR",18.06547,-66.85587,46384
"00703","PR",18.246205,-66.12827,28752
"00704","PR",17.970112,-66.22291,7593
"00705","PR",18.12942,-66.26541,26493
"00707","PR",18.014505,-65.91018,12741
"00714","PR",17.987288,-66.05552,19117
"00715","PR",18.003492,-66.55868,2268
"00716","PR",17.999066,-66.59965,38859
"00717","PR",18.004303,-66.61374,23083
"00718","PR",18.22048,-65.74293,23753
"00719","PR",18.294571,-66.25098,29921
"00720","PR",18.217827,-66.42265,23844
"00723","PR",18.023196,-66.0131,20152
"00725","PR",18.233927,-66.04502,144024
"00728","PR",18.013353,-66.65218,52069
"00729","PR",18.35615,-65.89089,50982
"00730","PR",18.022626,-66.61727,38828
"00731","PR",18.077329,-66.61192,21351
"00735","PR",18.258444,-65.65987,18004
"00736","PR",18.112895,-66.15377,49673
"00738","PR",18.32265,-65.66116,38173
"00739","PR",18.16984,-66.16271,40450
"00740","PR",18.331711,-65.62761,2539
"00741","PR",18.160755,-65.75765,5819
"00745","PR",18.366213,-65.82277,52362
"00751","PR",17.993803,-66.26534,23895
"00754","PR",18.15633,-65.96831,40997
"00757","PR",17.98631,-66.39457,21665
"00765","PR",18.125664,-65.45603,9106
"00766","PR",18.126023,-66.48208,27913
"00767","PR",18.072752,-65.89703,39246
"00769","PR",18.092813,-66.3611,37597
"00771","PR",18.18744,-65.87088,34485
"00772","PR",18.427674,-65.87605,24890
"00773","PR",18.361344,-65.72133,19817
"00775","PR",18.311149,-65.29257,1868
"00777","PR",18.224088,-65.91316,36452
"00778","PR",18.258628,-65.97791,36743
"00780","PR",18.068538,-66.55939,10017
"00782","PR",18.223348,-66.2267,18897
"00783","PR",18.304874,-66.32305,36867
"00784","PR",17.984137,-66.12779,43926
"00791","PR",18.147257,-65.82269,53216
"00794","PR",18.204294,-66.31058,28909
"00795","PR",18.036253,-66.50289,50531
"00901","PR",18.465426,-66.10786,7418
"00906","PR",18.46454,-66.10079,545
"00907","PR",18.451131,-66.07798,22173
"00909","PR",18.442282,-66.06764,7671
